course_identifier,course_name,subject_code,subject_name,school_code,school_name,section,call_number,instructors,enrollment_count,enrollment_max,enrollment_status,days_times,mil_time_from,mil_time_to
ELENE9001,RESEARCH I,ELEN,,SEAS,,033,16415,Asaf Cidon,1,99,O,,,
ELENE9001,RESEARCH I,ELEN,,SEAS,,034,16416,Xiang Meng,,99,O,,,
ELENE9001,RESEARCH I,ELEN,,SEAS,,035,16417,Micah Goldblum,1,50,O,,,
ELENE6999,FIELDWORK,ELEN,,SEAS,,001,18133,James Anderson,5,50,O,,,
ELENE6999,FIELDWORK,ELEN,,SEAS,,002,18134,Zoran Kostic,4,50,O,,,
ELENE6999,FIELDWORK,ELEN,,SEAS,,003,18135,Homayoon Beigi,5,50,O,,,
ELENE6999,FIELDWORK,ELEN,,SEAS,,004,18136,Aurel A Lazar,4,50,O,,,
ELENE6999,FIELDWORK,ELEN,,SEAS,,005,18137,Asaf Cidon,5,50,O,,,
ELENE6999,FIELDWORK,ELEN,,SEAS,,006,18138,Predrag R Jelenkovic,,50,O,,,
ELENE6903,TPCS-ELEC & COMPUT ENGINEERING,ELEN,,SEAS,,001,11254,Savannah Eisner,19,50,O,MW 11:40AM-12:55PM,11:40,12:55
ELENE6887,TOPICS IN SIGNAL PROCESSING,ELEN,,SEAS,,001,14052,Hui Jin,35,50,O,T 1:10PM-3:40PM,13:10,15:40
ELENE6885,TOPICS IN SIGNAL PROCESSING,ELEN,,SEAS,,C01,20694,"Chong Li, Chonggang Wang",1,99,B,,,
ELENE6885,TOPICS IN SIGNAL PROCESSING,ELEN,,SEAS,,V01,18109,"Chong Li, Chonggang Wang",4,99,O,,,
ELENE6885,TOPICS IN SIGNAL PROCESSING,ELEN,,SEAS,,001,14047,"Chong Li, Chonggang Wang",48,55,O,F 8:10AM-10:00AM,08:10,10:00
ELENE6884,TOPICS IN SIGNAL PROCESSING,ELEN,,SEAS,,001,14060,Guido H Jajamovich,11,60,O,M 10:10AM-12:40PM,10:10,12:40
ELENE6770,TOPICS IN NETWORKING,ELEN,,SEAS,,001,14084,Thomas Woo,24,55,O,F 4:10PM-6:40PM,16:10,18:40
ELENE6767,"INTERNET ECON, ENG & SOCIETY",ELEN,,SEAS,,V01,17928,Debasis Mitra,3,5,O,,,
ELENE6767,"INTERNET ECON, ENG & SOCIETY",ELEN,,SEAS,,001,11243,Debasis Mitra,25,30,O,MW 11:40AM-12:55PM,11:40,12:55
ELENE6761,COMPUTER COMMUNICATNS NETWORKS,ELEN,,SEAS,,V01,18108,Javad Ghaderi,,5,O,,,
ELENE6761,COMPUTER COMMUNICATNS NETWORKS,ELEN,,SEAS,,001,11242,Javad Ghaderi,19,50,O,R 10:10AM-12:40PM,10:10,12:40
ELENE6591,Topics in Smart Electric Energy,ELEN,,SEAS,,001,14086,Mohamed Kamaludeen,8,55,O,R 4:10PM-6:40PM,16:10,18:40
ECBME4090,BRAIN COMPUTER INTERFACES LAB,ECBM,,SEAS,,001,11180,Nima Mesgarani,37,42,O,T 10:10AM-12:40PM,10:10,12:40
ELENE6590,Topics in Smart Electric Energy,ELEN,,SEAS,,001,11257,Navid Asr,26,55,O,T 7:00PM-9:30PM,19:00,21:30
ELENE6488,OPTICAL INTERCONNECTS,ELEN,,SEAS,,001,11240,Keren Bergman,13,40,O,M 4:10PM-6:40PM,16:10,18:40
ELENE6430,APPLIED QUANTUM OPTICS,ELEN,,SEAS,,001,11237,Xiang Meng,34,40,O,R 4:10PM-6:40PM,16:10,18:40
ELENE6412,LIGHTWAVE DEVICES,ELEN,,SEAS,,V01,20074,Xiang Meng,1,99,O,,,
ELENE6412,LIGHTWAVE DEVICES,ELEN,,SEAS,,001,11236,Xiang Meng,10,30,O,T 1:10PM-3:40PM,13:10,15:40
ELENE6340,Power Management Integrated Circuits,ELEN,,SEAS,,001,15016,Xin Zhang,54,55,O,F 1:10PM-3:40PM,13:10,15:40
ELENE6320,MILLIMETER-WAVE IC DESIGN,ELEN,,SEAS,,V01,17927,Harish Krishnaswamy,3,99,O,,,
ELENE6320,MILLIMETER-WAVE IC DESIGN,ELEN,,SEAS,,001,11235,Harish Krishnaswamy,13,40,O,R 4:10PM-6:40PM,16:10,18:40
ELENE6302,MOS TRANSISTORS,ELEN,,SEAS,,001,11226,Yannis P Tsividis,37,68,O,T 4:10PM-6:40PM,16:10,18:40
ELENE6003,MASTER'S THESIS,ELEN,,SEAS,,021,18555,Kenneth Shepard,2,10,O,,,
ELENE6001,ADVANCED PROJECTS,ELEN,,SEAS,,001,14808,Dimitris Anastassiou,,50,O,,,
ELENE6001,ADVANCED PROJECTS,ELEN,,SEAS,,002,14835,Keren Bergman,2,50,O,,,
ELENE6001,ADVANCED PROJECTS,ELEN,,SEAS,,003,14836,Shih-Fu Chang,,50,O,,,
ELENE6001,ADVANCED PROJECTS,ELEN,,SEAS,,004,14837,Javad Ghaderi,,50,O,,,
ELENE6001,ADVANCED PROJECTS,ELEN,,SEAS,,005,14838,Christine P Hendon,,50,O,,,
ELENE6001,ADVANCED PROJECTS,ELEN,,SEAS,,006,14839,Predrag R Jelenkovic,,50,O,,,
ELENE6001,ADVANCED PROJECTS,ELEN,,SEAS,,007,14840,Xiaofan Jiang,2,50,O,,,
ELENE6001,ADVANCED PROJECTS,ELEN,,SEAS,,008,14841,Ethan Katz-Bassett,,50,O,,,
ELENE6001,ADVANCED PROJECTS,ELEN,,SEAS,,009,14842,Dion Khodagholy Araghy,,50,O,,,
ELENE6001,ADVANCED PROJECTS,ELEN,,SEAS,,010,14819,Peter Kinget,,50,O,,,
ELENE6001,ADVANCED PROJECTS,ELEN,,SEAS,,011,14818,Zoran Kostic,2,50,O,,,
ELENE6001,ADVANCED PROJECTS,ELEN,,SEAS,,012,14817,Harish Krishnaswamy,,50,O,,,
ELENE6001,ADVANCED PROJECTS,ELEN,,SEAS,,013,14816,Ioannis Kymissis,1,50,O,,,
ELENE6001,ADVANCED PROJECTS,ELEN,,SEAS,,014,14815,Aurel A Lazar,1,50,O,,,
